;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;22.03.2019;26.02.2021;26.02.2021;28.02.2022;02.03.2024;29.02.2024;04.03.2025;;19.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Выручка, млрд руб;8.63;11.2;13.1;17.7;23.9;30.4;41.5;;42.0
Чистая прибыль, млрд руб;3.33;4.83;6.04;8.67;11.9;14.8;14.9;;6.55
Див.выплата, млрд руб;3.29;1.000;3.00;2.00;3.50;6.80;9.48;;10.4
Дивиденд, руб/акцию;27,43;8,34;25;16,67;29,17;56,67;79;;87
Див доход, ао, %;3.1%;1.0%;2.9%;1.9%;3.3%;6.5%;11.1%;;13.3%
Дивиденды/прибыль, %;99%;21%;50%;23%;29%;46%;64%;;159%
Опер. расходы, млрд руб;4.32;4.79;5.11;6.54;7.95;9.31;10.9;;10.4
Расх на персонал, млрд руб;3.26;3.61;3.94;4.92;6.26;7.36;8.55;;7.99
Процентные расходы, млрд руб;3.77;5.20;5.43;7.79;13.9;17.8;29.3;;34.5
Активы, млрд руб;61.7;79.4;99.0;171.0;189.3;264.7;302.1;;228.9
Чистые активы, млрд руб;11.0;13.9;17.1;26.1;33.8;44.7;50.6;;46.9
Долг, млрд руб;45.9;58.1;74.1;133.3;141.7;202.3;226.7;;155.2
Наличность, млрд руб;1.49;2.76;2.57;8.61;10.2;11.6;15.8;;14.5
Чистый долг, млрд руб;44.4;55.4;71.6;124.7;131.5;190.7;210.9;;140.7
Цена акции ао, руб;875.0;875.0;875.0;875.0;875.0;875.0;714.0;;652.8
Число акций ао, млн;120.0;120.0;120.0;120.0;120.0;120.0;120.0;;120.0
Free Float, %;;;;;;;13.0%;13.0%;13.0%
Капитализация, млрд руб;105.0;105.0;105.0;105.0;105.0;105.0;85.7;;78.3
EV, млрд руб;149.4;160.4;176.6;229.7;236.5;295.7;296.5;;219.0
Баланс стоимость, млрд руб;11.0;13.9;17.1;26.1;33.8;44.7;50.6;;46.9
EPS, руб;27.8;40.3;50.3;72.3;99.1;123.3;124.3;;54.6
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0
BV/акцию, руб;91.7;115.8;142.8;217.8;281.8;372.4;421.8;;390.8
Рентаб EBITDA, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0
Чистая рентаб, %;38.6%;43.2%;46.3%;48.9%;49.8%;48.6%;36.0%;;15.6%
Доходность FCF, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%
ROE, %;30.3%;34.7%;35.2%;33.2%;35.2%;33.1%;29.5%;;14.0%
ROA, %;5.4%;6.1%;6.1%;5.1%;6.3%;5.6%;4.9%;;2.9%
P/E;31.5;21.7;17.4;12.1;8.83;7.10;5.75;;12.0
P/S;12.2;9.38;8.05;5.93;4.40;3.45;2.07;;1.86
P/BV;9.55;7.55;6.13;4.02;3.10;2.35;1.69;;1.67
Персонал, чел;;;2 204;2 561;2 427;2 719;3 117;;2 904
Производительность труда, млн руб/чел/год;;;5.92;6.92;9.84;11.2;13.3;;14.5
Расходы/чел/год, тыс.р;;;1 788;1 921;2 579;2 707;2 743;;2 752
CAPEX/Выручка, %;0%;0%;0%;0%;0%;0%;0%;;0
Дата отчета, 28.02.2022;;;;;;;;27.02.2026;
Валюта отчета, RUB;;;;;;;;RUB;
Выручка , млрд руб, 17.7;;;;;;;;39.9;
Чистая прибыль , млрд руб, 8.67;;;;;;;;5.13;
Див.выплата , млрд руб, 2.00;;;;;;;;6.96;
Дивиденд , руб/акцию, 16.67;;;;;;;;58;
Див доход, ао , %, 1.9%;;;;;;;;9.8%;
Дивиденды/прибыль , %, 23%;;;;;;;;136%;
Опер. расходы , млрд руб, 6.54;;;;;;;;11.0;
Расх на персонал , млрд руб, 4.92;;;;;;;;8.71;
Процентные расходы , млрд руб, 7.79;;;;;;;;33.3;
Активы , млрд руб, 171.0;;;;;;;;205.3;
Чистые активы , млрд руб, 26.1;;;;;;;;42.4;
Долг , млрд руб, 133.3;;;;;;;;135.9;
Наличность , млрд руб, 8.61;;;;;;;;9.25;
Чистый долг , млрд руб, 124.7;;;;;;;;126.7;
Цена акции ао , руб, 875.0;;;;;;;;589.5;
Число акций ао , млн, 120.0;;;;;;;;120.0;
Капитализация , млрд руб, 105.0;;;;;;;;70.7;
EV , млрд руб, 229.7;;;;;;;;197.4;
Баланс стоимость , млрд руб, 26.1;;;;;;;;42.4;
EPS , руб, 72.3;;;;;;;;42.8;
FCF/акцию , руб, 0.00;;;;;;;;0;
BV/акцию , руб, 217.8;;;;;;;;353.5;
Рентаб EBITDA , %, 0.0%;;;;;;;;0;
Чистая рентаб , %, 48.9%;;;;;;;;12.9%;
Доходность FCF , %, 0.0%;;;;;;;;0.0%;
ROE , %, 33.2%;;;;;;;;12.1%;
ROA , %, 5.1%;;;;;;;;2.5%;
P/E, 12.1;;;;;;;;13.8;
P/S, 5.93;;;;;;;;1.77;
P/BV, 4.02;;;;;;;;1.67;
Персонал , чел, 2 561;;;;;;;;2 958;
Произв.труда , млн руб/чел/год, 6.92;;;;;;;;13.5;
Расходы/чел/год , тыс.р, 1 921;;;;;;;;2 946;
CAPEX/Выручка , %, 0%;;;;;;;;0;
