;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;24.06.2024;24.06.2024;24.06.2024;19.02.2024;18.02.2025;18.02.2026;01.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Чистый операц доход, млрд руб;61.9;64.6;77.8;114.5;155.6;188.3;174.4
Чист. проц. доходы, млрд руб;24.0;35.6;55.7;78.7;122.0;161.9;144.4
Чист. комисс. доход, млрд руб;2.60;3.75;5.35;5.49;7.25;13.0;11.0
Доходы по цб, млрд руб;10.1;1.19;0.713;16.4;1.68;7.47;0.736
Операционная прибыль, млрд руб;51.6;58.1;63.7;88.8;118.1;161.0;136.3
Чистая прибыль, млрд руб;26.3;33.4;30.3;47.1;65.6;88.7;69.9
Операционный денежный поток, млрд руб;-142.2;-65.7;96.8;-327.8;-7.04;-607.0;-220.1
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;13.3%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;50%;0
Опер. расходы, млрд руб;20.8;21.0;22.6;33.2;39.4;48.6;44.3
Амортизация, млрд руб;2.6;2.8;3.1;3.2;3.9;4.6;4.4
Расх на персонал, млрд руб;13.4;12.5;16.9;21.8;25.5;32.6;29.3
Процентные расходы, млрд руб;51.9;66.2;114.9;197.7;490.0;689.1;681.1
Создание резервов, млрд руб;5.11;2.21;8.21;12.7;18.4;31.2;27.2
Наличность, млрд руб;120.4;174.0;536.5;671.4;788.0;;426.7
Чистый долг, млрд руб;-120.4;-174.0;-536.5;-671.4;-788.0;;-426.7
Активы банка, млрд руб;1 332;1 824;2 857;4 089;5 568;6 424;5 809
Капитал, млрд руб;139.3;157.3;217.1;327.7;379.6;469.7;415.7
Кредитный портфель, млрд руб;1 128;1 461;2 044;2 918;3 867;4 895;4 433
Кредиты юрлицам, млрд руб;59.3;73.1;165.6;229.6;502.4;773.1;600.9
Кредиты физлицам, млрд руб;1 068;1 388;1 879;2 688;3 364;4 122;3 832
Депозиты, млрд руб;268.5;503.3;1 112;1 766;2 468;2 965;2 847
Депозиты юрлиц, млрд руб;125.1;148.6;593.6;929.1;1 352;1 439;1 469
Депозиты физлиц, млрд руб;143.4;354.7;518.3;836.4;1 116;1 526;1 378
Резервы под обесценивание, млрд руб;58.7;39.1;42.6;50.5;67.2;98.7;88.5
Стоимость риска (CoR), %;0.500%;0.200%;0.470%;0.510%;0.540%;0.700%;0.700%
Расходы/Доходы (CIR), %;36.8%;34.8%;35.6%;32.0%;26.4%;25.8%;26.7%
Loan-to-deposit ratio, %;420%;290%;184%;165%;157%;165%;156%
Цена акции ао, руб;1 400;1 400;1 400;1 400;1 400;1 858;2 107
Число акций ао, млн;63.9;63.9;99.6;161.8;161.8;179.9;179.9
Free Float, %;;;;;;10.00%;10.1%
Капитализация, млрд руб;89.5;89.5;139.5;226.5;226.5;334.3;379.0
EV, млрд руб;-30.9;-84.5;-397.0;-444.9;-561.5;334.3;-47.7
EPS, руб;412.0;522.3;304.1;291.2;405.5;493.0;388.4
ROE, %;16.8%;22.4%;23.1%;21.3%;26.0%;21.6%;21.0%
ROA, %;;;1.3%;1.5%;1.4%;1.5%;1.5%
Чистая процентная маржа, %;2.20%;2.40%;2.50%;3.10%;3.20%;3.70%;3.40%
Рентабельность банка, %;42.6%;51.7%;39.0%;41.1%;42.2%;47.1%;40.1%
P/E;3.40;2.68;4.60;4.81;3.45;3.77;5.42
P/B;0.64;0.57;0.64;0.69;0.60;0.71;0.91
Персонал, чел;6 283;6 954;7 760;8 297;8 722;9 141;9 159
Производительность труда, млн руб/чел/год;9.85;9.29;10.0;13.8;17.8;20.6;19.0
Расходы/чел/год, тыс.р;2 130;1 799;2 180;2 631;2 926;3 570;3 202
Див.выплата, млрд руб;;;;;;44.4;
Дивиденд, руб/акцию;;;;;;246.88;
Просроченные кредиты, NPL, %;;;;;;0.900%;
