;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2025
Дата отчета;08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;;;;;;29.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Чистый операц доход, млрд руб;0.340;0.353;0.341;0.403;0.412;;;;;;0.786
Чист. проц. доходы, млрд руб;0.246;0.243;0.215;0.242;0.299;;;;;;0.590
Чист. комисс. доход, млрд руб;0.144;0.142;0.150;0.188;0.216;;;;;;0.178
Чистая прибыль, млрд руб;0.037;0.026;0.005;0.040;0.049;;;;;;0.093
Див.выплата, млрд руб;;;;;0.004;0.019;0.015;0.033;0.060;0.086;
Дивиденд, руб/акцию;;;;;0,00018;0,00084;0,00067;0,001466;0,00266;0,00382;
Див доход, ао, %;;;;0.0%;1.5%;8.9%;3.4%;11.0%;14.0%;8.1%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;8%;;;;;;0%
Наличность, млрд руб;1.000;0.630;0.697;0.675;0.722;;;;;;
Чистый долг, млрд руб;-1.00;-0.63;-0.70;-0.68;-0.72;0.00;0.00;0.00;0.00;0.00;
Активы банка, млрд руб;4.30;3.88;4.46;4.72;5.59;;;;;;10.3
Капитал, млрд руб;0.464;0.497;0.505;0.620;0.668;;;;;;1.28
Кредитный портфель, млрд руб;2.72;2.45;2.61;2.72;3.44;;;;;;6.58
Депозиты, млрд руб;3.62;3.16;3.83;3.84;4.23;;;;;;8.69
Loan-to-deposit ratio, %;75%;78%;68%;71%;81%;;;;;;76%
Цена акции ао, руб;;;;0.015;0.012;0.009;0.020;0.013;0.019;0.047;0.033
Число акций ао, млн;22 503;22 503;22 503;22 503;22 503;22 503;22 503;22 503;22 503;22 503;22 503
Капитализация, млрд руб;0.00;0.00;0.00;0.34;0.27;0.21;0.44;0.30;0.43;1.07;0.74
EV, млрд руб;-1.00;-0.63;-0.70;-0.33;-0.45;0.21;0.44;0.30;0.43;1.07;0.74
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Рентабельность банка, %;10.9%;7.37%;1.47%;9.93%;11.9%;;;;;;11.8%
P/E;0.00;0.00;0.00;8.55;5.56;;;;;;7.99
P/B;0.00;0.00;0.00;0.55;0.41;;;;;;0.58
Доходы по цб, млрд руб;;;;;;;;;;;0.008
Опер. расходы, млрд руб;;;;;;;;;;;0.634
Амортизация, млрд руб;;;;;;;;;;;0.1
Расх на персонал, млрд руб;;;;;;;;;;;0.347
Процентные расходы, млрд руб;;;;;;;;;;;1.08
Кредиты юрлицам, млрд руб;;;;;;;;;;;4.14
Кредиты физлицам, млрд руб;;;;;;;;;;;2.44
Депозиты юрлиц, млрд руб;;;;;;;;;;;3.52
Депозиты физлиц, млрд руб;;;;;;;;;;;5.16
Резервы под обесценивание, млрд руб;;;;;;;;;;;0.266
Персонал, чел;;;;;;;;;;;357
Произв.труда, млн руб/чел/год;;;;;;;;;;;2.20
Расходы/чел/год, тыс.р;;;;;;;;;;;972.0
